model,N_test,dsl_paR,dsl_paNR,dsf_paR,dsf_paNR,p_dsl,p_dsf
correctHighNoise2,20000,0.8238896888758745,0.8331442808399331,0.8157092116211713,0.8473591512654013,0.6545733945199514,0.38315363737864805
correctHighNoise,20000,0.8270423802281598,0.8525290016670107,0.8302847612860088,0.8317477185124243,0.2908990421708997,0.9621584810871233
